sgRNA	gene	HL60.final	KBM7.final
p154279743	MND1	2002	2309
m158812034	MNDA	1008	1230
m158812151	MNDA	234	218
m158813120	MNDA	992	622
m158813145	MNDA	1564	1511
m158813151	MNDA	221	400
p158811972	MNDA	2563	2018
p158812008	MNDA	719	1561
p158812021	MNDA	1113	922
p158812077	MNDA	0	23
p158813153	MNDA	1052	1437
m33679327	MNF1	338	300
m33679341	MNF1	424	143
m33679346	MNF1	2250	1681
m33679354	MNF1	376	381
m33679363	MNF1	1587	1491
m33679396	MNF1	3036	4280
m33679411	MNF1	638	281
m33679418	MNF1	200	250
m33679445	MNF1	927	615
p33679369	MNF1	1088	1136
m56739085	MNS1	276	290
m56739124	MNS1	1387	1444
m56748628	MNS1	1054	1508
m56756237	MNS1	1264	952
m56756243	MNS1	1421	841
m56756324	MNS1	683	1125
m56756412	MNS1	1290	1296
p56736823	MNS1	825	1583
p56739035	MNS1	519	362
p56756279	MNS1	2490	1004
m2298727	MNT	1249	749
m2298737	MNT	565	938
m2298742	MNT	539	555
m2303935	MNT	758	1123
m2303964	MNT	233	885
m2303969	MNT	995	1456
m2303981	MNT	638	364
m2303987	MNT	348	422
p2303948	MNT	669	760
p2303954	MNT	396	682
m156799204	MNX1	1614	1952
m156799223	MNX1	2995	1807
m156799258	MNX1	175	50
m156799311	MNX1	1328	531
p156799207	MNX1	1915	2950
p156799228	MNX1	521	610
p156799265	MNX1	930	488
p156799272	MNX1	1367	3001
p156799279	MNX1	1237	1850
p156799314	MNX1	512	454
m71824636	MOB1B	2895	3234
m71824679	MOB1B	715	996
m71824698	MOB1B	1621	2070
p71824617	MOB1B	2276	1683
p71824663	MOB1B	1264	1724
p71824669	MOB1B	1550	1813
p71824683	MOB1B	846	619
p71824702	MOB1B	2014	1990
p71835661	MOB1B	1111	1734
p71835712	MOB1B	3652	1891
m1502056	MOB2	3310	3441
m1502069	MOB2	659	1033
m1502074	MOB2	384	408
p1502018	MOB2	1250	1961
p1502028	MOB2	1225	1437
p1502035	MOB2	966	379
p1502060	MOB2	903	860
p1502076	MOB2	251	350
p1502081	MOB2	673	1296
p1502087	MOB2	384	1258
m39543575	MOBP	880	1448
m39543607	MOBP	124	35
m39543618	MOBP	1148	1961
m39543643	MOBP	1715	1584
m39543658	MOBP	1596	1176
m39543666	MOBP	597	601
p39543553	MOBP	702	1397
p39543559	MOBP	528	300
p39543649	MOBP	859	1311
p39543686	MOBP	853	1063
m39893526	MOCS1	2771	2303
m39893567	MOCS1	1337	1897
m39895166	MOCS1	1114	1885
m39895179	MOCS1	669	682
m39895185	MOCS1	1259	645
p39893528	MOCS1	1277	1844
p39895052	MOCS1	1221	1420
p39895070	MOCS1	958	626
p39895082	MOCS1	4128	4556
p39895097	MOCS1	1983	3123
m52402967	MOCS2	671	843
m52402994	MOCS2	485	336
m52404353	MOCS2	609	702
m52405543	MOCS2	2039	1749
p52402891	MOCS2	693	934
p52402918	MOCS2	1800	1709
p52402946	MOCS2	283	257
p52402959	MOCS2	2384	2028
p52404395	MOCS2	1881	1061
p52405530	MOCS2	1357	1394
m102717309	MOK	1300	2009
m102729884	MOK	943	968
m102729912	MOK	2454	3353
m102749816	MOK	2397	2422
m102749859	MOK	857	886
m102749916	MOK	1364	2092
p102717269	MOK	1152	500
p102718248	MOK	46	263
p102718263	MOK	2474	1931
p102749845	MOK	1265	1071
m108822722	MORC1	993	1795
m108829623	MORC1	1750	1543
m108833232	MORC1	1944	3267
m108833243	MORC1	3021	4549
m108836863	MORC1	181	278
m108836878	MORC1	1213	1456
m108836897	MORC1	3606	3440
p108836830	MORC1	384	467
p108836851	MORC1	1551	962
p108836868	MORC1	2547	1421
m31342416	MORC2	479	120
m31345748	MORC2	1160	1760
m31345754	MORC2	1651	2324
m31345795	MORC2	1048	1347
m31345802	MORC2	1684	1979
m31346371	MORC2	2795	4143
p31342383	MORC2	272	483
p31345758	MORC2	619	844
p31345769	MORC2	598	777
p31345786	MORC2	280	923
m106242918	MORC4	741	634
m106243099	MORC4	1194	1385
p106242901	MORC4	1391	2472
p106242910	MORC4	2407	2506
p106242921	MORC4	1529	3935
p106242928	MORC4	1395	1442
p106242939	MORC4	2353	2152
p106242948	MORC4	1934	546
p106243087	MORC4	1004	2147
p106243104	MORC4	177	247
m79165368	MORF4L1	676	587
m79165394	MORF4L1	717	687
m79186561	MORF4L1	1081	605
p79165352	MORF4L1	593	1102
p79170579	MORF4L1	1253	508
p79178479	MORF4L1	705	762
p79183821	MORF4L1	1071	895
p79186387	MORF4L1	1157	1981
p79186550	MORF4L1	144	598
p79187148	MORF4L1	586	609
m102931701	MORF4L2	1392	1728
m102931707	MORF4L2	647	964
m102931780	MORF4L2	1388	1194
m102931788	MORF4L2	733	260
m102931824	MORF4L2	823	1103
m102931923	MORF4L2	1768	1362
p102931709	MORF4L2	764	1148
p102931731	MORF4L2	737	814
p102931905	MORF4L2	2483	2124
p102931925	MORF4L2	168	175
m134031028	MOSPD1	1289	1035
m134033126	MOSPD1	3181	3909
m134033152	MOSPD1	92	753
m134033311	MOSPD1	1153	1832
m134033428	MOSPD1	1173	1547
p134033116	MOSPD1	1388	1705
p134033158	MOSPD1	1985	2419
p134033301	MOSPD1	203	332
p134033313	MOSPD1	1242	1201
p134033419	MOSPD1	1161	1002
m57026349	MOS	857	280
m57026366	MOS	1913	1114
m57026372	MOS	2806	2866
m57026434	MOS	1484	2647
p57026358	MOS	1586	1188
p57026375	MOS	1583	1789
p57026380	MOS	5599	5162
p57026439	MOS	888	1347
p57026451	MOS	2165	1384
p57026470	MOS	569	485
m71357826	MPHOSPH10	686	362
m71357859	MPHOSPH10	926	179
p71357785	MPHOSPH10	730	445
p71357790	MPHOSPH10	931	423
p71357799	MPHOSPH10	1256	1468
p71357806	MPHOSPH10	1232	823
p71357811	MPHOSPH10	169	16
p71357828	MPHOSPH10	555	227
p71357839	MPHOSPH10	183	56
p71357844	MPHOSPH10	472	212
m82185036	MPHOSPH6	336	59
m82185050	MPHOSPH6	917	254
m82185068	MPHOSPH6	386	824
m82197714	MPHOSPH6	2656	2291
m82197721	MPHOSPH6	1012	709
m82203731	MPHOSPH6	1142	2201
m82203759	MPHOSPH6	3455	3037
p82197683	MPHOSPH6	10	0
p82197748	MPHOSPH6	522	181
p82203750	MPHOSPH6	818	2043
m20207922	MPHOSPH8	3095	1447
m20216317	MPHOSPH8	1547	981
m20221032	MPHOSPH8	562	483
p20207881	MPHOSPH8	1422	860
p20207892	MPHOSPH8	2555	1587
p20208076	MPHOSPH8	1284	1334
p20216288	MPHOSPH8	617	795
p20216307	MPHOSPH8	1986	1277
p20216388	MPHOSPH8	2492	3857
p20221019	MPHOSPH8	624	91
m123706135	MPHOSPH9	1303	2124
m123706144	MPHOSPH9	651	1288
m123706194	MPHOSPH9	2942	3638
m123706200	MPHOSPH9	295	1091
m123706222	MPHOSPH9	387	583
p123706212	MPHOSPH9	943	1843
p123706245	MPHOSPH9	2417	3386
p123706253	MPHOSPH9	1479	2185
p123706260	MPHOSPH9	432	847
p123706267	MPHOSPH9	1252	1515
m40173957	MPLKIP	963	1899
m40174004	MPLKIP	1464	1471
m40174084	MPLKIP	1658	2004
m40174105	MPLKIP	751	938
m40174110	MPLKIP	560	784
p40173966	MPLKIP	505	1248
p40173976	MPLKIP	1134	2095
p40174023	MPLKIP	360	424
p40174113	MPLKIP	846	1746
p40174119	MPLKIP	1056	723
m56358001	MPO	714	795
m56358017	MPO	369	362
m56358028	MPO	3413	4490
m56358059	MPO	1965	1232
m56358064	MPO	1573	1739
m56358075	MPO	1751	2491
m56358082	MPO	212	473
p56357963	MPO	928	834
p56357968	MPO	2628	1812
p56358087	MPO	1406	658
m94209503	MRE11A	1734	298
m94211902	MRE11A	1770	1416
m94211908	MRE11A	2060	2492
m94211969	MRE11A	1886	1297
m94212023	MRE11A	1400	1487
m94212842	MRE11A	2695	1044
m94224056	MRE11A	4517	2244
m94224083	MRE11A	990	1649
p94209484	MRE11A	380	1235
p94212874	MRE11A	717	832
m6642599	MRFAP1	1101	1715
m6642741	MRFAP1	338	540
m6642750	MRFAP1	960	614
m6642824	MRFAP1	825	947
m6642831	MRFAP1	312	521
p6642603	MRFAP1	726	1586
p6642612	MRFAP1	634	665
p6642706	MRFAP1	608	733
p6642711	MRFAP1	213	265
p6642728	MRFAP1	895	896
m61427876	MRGBP	260	253
m61427939	MRGBP	247	379
m61427946	MRGBP	892	944
m61427974	MRGBP	1243	924
m61427997	MRGBP	297	3
m61428002	MRGBP	502	174
p61427868	MRGBP	875	822
p61427878	MRGBP	287	1
p61427904	MRGBP	1193	1124
p61427985	MRGBP	1029	830
m13875403	MRI1	1243	447
m13875409	MRI1	890	1681
m13875440	MRI1	428	872
m13875449	MRI1	865	2142
m13875455	MRI1	641	1264
p13875389	MRI1	1883	1642
p13875464	MRI1	927	571
p13875470	MRI1	995	1219
p13875476	MRI1	0	0
p13875485	MRI1	175	500
m48333096	MRO	92	181
m48333104	MRO	1299	1775
m48333147	MRO	907	713
m48333192	MRO	1252	1697
m48333214	MRO	1116	1132
p48331654	MRO	1230	2250
p48331660	MRO	707	1535
p48333059	MRO	640	1325
p48333177	MRO	582	1135
p48333201	MRO	585	429
m75873977	MRPL19	437	793
m75873992	MRPL19	589	271
m75874016	MRPL19	634	707
m75874024	MRPL19	908	765
m75874244	MRPL19	1096	1304
m75874249	MRPL19	1270	1149
p75873932	MRPL19	1304	709
p75873957	MRPL19	893	318
p75873979	MRPL19	623	213
p75874256	MRPL19	605	1328
m19420078	MRPL40	811	697
m19420087	MRPL40	659	657
m19420115	MRPL40	419	64
m19420121	MRPL40	912	1376
m19420829	MRPL40	943	1044
p19420107	MRPL40	696	599
p19420772	MRPL40	544	587
p19420780	MRPL40	193	255
p19420831	MRPL40	1201	1344
p19420849	MRPL40	208	308
m140446549	MRPL41	472	374
m140446583	MRPL41	1424	1083
m140446648	MRPL41	942	379
m140446669	MRPL41	1069	589
p140446523	MRPL41	1234	1509
p140446532	MRPL41	0	224
p140446573	MRPL41	621	460
p140446585	MRPL41	3287	887
p140446650	MRPL41	119	86
p140446657	MRPL41	1266	1360
m174987586	MRPS14	438	484
m174987607	MRPS14	574	256
m174987664	MRPS14	671	517
m174987692	MRPS14	945	1365
m174992501	MRPS14	686	277
m174992514	MRPS14	1012	197
m174992527	MRPS14	2269	1247
p174983932	MRPS14	1341	1802
p174987666	MRPS14	609	691
p174987683	MRPS14	1855	1693
m36929796	MRPS15	188	0
m36929808	MRPS15	647	755
m36929821	MRPS15	645	419
m36929833	MRPS15	183	361
m36929840	MRPS15	1156	1987
m36929869	MRPS15	1257	512
p36929778	MRPS15	443	486
p36929800	MRPS15	710	345
p36929812	MRPS15	825	453
p36929855	MRPS15	637	350
m55926749	MRPS23	176	706
m55926754	MRPS23	590	1117
m55926760	MRPS23	791	819
m55926766	MRPS23	244	289
m55927329	MRPS23	347	293
m55927345	MRPS23	234	1
m55927355	MRPS23	261	0
m55927366	MRPS23	220	50
p55926706	MRPS23	731	752
p55927337	MRPS23	571	398
m19578335	MRTO4	731	1583
m19581324	MRTO4	231	445
m19582493	MRTO4	840	857
m19582524	MRTO4	358	249
m19582532	MRTO4	1707	1447
m19583595	MRTO4	536	546
m19583608	MRTO4	313	308
p19578338	MRTO4	216	26
p19582434	MRTO4	204	32
p19582511	MRTO4	1704	2680
m60229895	MS4A1	715	1071
m60229934	MS4A1	621	450
m60229967	MS4A1	745	905
m60230473	MS4A1	1092	1995
p60229853	MS4A1	1190	1188
p60229864	MS4A1	443	1319
p60229880	MS4A1	530	1051
p60229901	MS4A1	903	1667
p60229936	MS4A1	1882	1569
p60229981	MS4A1	1398	1356
m105881395	MSANTD4	676	669
m105881442	MSANTD4	3422	4393
m105881449	MSANTD4	1726	1435
m105881455	MSANTD4	1499	704
m105881465	MSANTD4	1482	2717
m105881471	MSANTD4	421	625
m105881502	MSANTD4	2446	2710
m105881508	MSANTD4	2129	1603
p105881403	MSANTD4	1370	1354
p105881524	MSANTD4	2218	1889
m72756231	MSC	1057	441
m72756265	MSC	1761	1330
m72756271	MSC	704	941
m72756277	MSC	2416	2001
m72756370	MSC	2899	4090
m72756379	MSC	139	251
m72756385	MSC	930	765
m72756400	MSC	508	989
p72756236	MSC	3800	2345
p72756298	MSC	233	600
m47635665	MSH2	1732	803
m47637241	MSH2	4354	4412
p47635628	MSH2	518	424
p47635636	MSH2	1031	772
p47635645	MSH2	1006	1033
p47635656	MSH2	2927	4819
p47635672	MSH2	1604	1944
p47637253	MSH2	4373	2322
p47637280	MSH2	1053	712
p47637288	MSH2	1411	2049
m79950547	MSH3	1536	887
m79950557	MSH3	595	1179
m79950578	MSH3	280	280
m79950632	MSH3	2201	978
m79950647	MSH3	3210	3675
m79950655	MSH3	1126	847
m79950661	MSH3	1712	893
p79950535	MSH3	906	1109
p79950549	MSH3	1110	1160
p79950617	MSH3	1438	1172
m76262682	MSH4	1306	973
m76262723	MSH4	218	603
m76262758	MSH4	793	1696
m76262777	MSH4	940	940
m76262795	MSH4	1555	1662
m76262807	MSH4	1161	1873
p76262656	MSH4	1166	504
p76262729	MSH4	191	259
p76262780	MSH4	1193	1168
p76262786	MSH4	730	969
m31708342	MSH5	642	443
p31708234	MSH5	869	737
p31708247	MSH5	705	1624
p31708260	MSH5	1833	2356
p31708273	MSH5	1083	1274
p31708347	MSH5	2017	903
p31708362	MSH5	634	238
p31708368	MSH5	2804	3496
p31708937	MSH5	525	1094
p31708945	MSH5	1526	1382
m48010408	MSH6	1367	2308
m48010417	MSH6	643	692
m48010442	MSH6	3019	3800
m48010454	MSH6	1512	1607
p48010422	MSH6	2231	3207
p48010427	MSH6	493	853
p48010444	MSH6	1826	3679
p48010510	MSH6	2265	1156
p48010517	MSH6	1172	1465
p48010530	MSH6	110	224
m120802545	MSI1	238	270
m120805834	MSI1	1399	1398
m120805862	MSI1	454	438
m120805872	MSI1	676	506
m120806019	MSI1	739	313
m120806047	MSI1	519	319
m120806057	MSI1	1627	1615
m120806637	MSI1	77	286
m120806663	MSI1	876	1101
p120805989	MSI1	215	214
m38282581	MSL1	391	55
m38282595	MSL1	446	314
m38282604	MSL1	2042	844
p38282442	MSL1	1396	1534
p38282455	MSL1	3524	4656
p38282464	MSL1	333	204
p38282481	MSL1	901	237
p38282497	MSL1	4136	4232
p38282521	MSL1	1574	671
p38282563	MSL1	922	475
m135871373	MSL2	930	914
m135871379	MSL2	952	1045
m135871451	MSL2	2185	1251
m135871476	MSL2	938	628
p135871212	MSL2	898	1223
p135871219	MSL2	1836	2237
p135871225	MSL2	372	627
p135871251	MSL2	1765	1603
p135871263	MSL2	1363	2140
p135871461	MSL2	1918	1341
m11780970	MSL3	1141	1477
m11781062	MSL3	2899	1528
m11781082	MSL3	1169	555
m11782028	MSL3	1680	995
m11782044	MSL3	1164	1080
p11780313	MSL3	982	568
p11780349	MSL3	846	1124
p11781892	MSL3	841	1404
p11782035	MSL3	1271	2125
p11783570	MSL3	27	0
m51555741	MSMB	0	0
m51555764	MSMB	1277	1332
m51555820	MSMB	1220	985
m51562283	MSMB	1055	689
p51555720	MSMB	721	1040
p51555789	MSMB	418	486
p51555799	MSMB	786	1022
p51555812	MSMB	1433	1367
p51562264	MSMB	492	427
p51562303	MSMB	708	1035
m64947728	MSN	1410	2986
m64947748	MSN	236	476
m64949298	MSN	2417	4202
m64949309	MSN	1338	2510
m64949349	MSN	1805	3666
p64947685	MSN	585	839
p64947693	MSN	394	596
p64947717	MSN	870	780
p64949301	MSN	1081	1461
p64949358	MSN	2734	1929
m10159056	MSRA	810	714
m10159071	MSRA	3365	4100
m10159140	MSRA	870	910
m10177414	MSRA	1309	1055
m10177429	MSRA	471	920
m10177437	MSRA	3164	2621
p10065389	MSRA	2087	2791
p10159103	MSRA	784	1090
p10159126	MSRA	582	329
p10177381	MSRA	1110	2081
m1991286	MSRB1	2333	2078
m1991331	MSRB1	1559	1461
m1991384	MSRB1	1659	2289
p1991293	MSRB1	1210	968
p1991299	MSRB1	829	1072
p1991309	MSRB1	1401	639
p1991315	MSRB1	931	1462
p1991340	MSRB1	1332	1607
p1993099	MSRB1	335	824
p1993136	MSRB1	1031	875
m49940887	MST1R	177	154
m49940909	MST1R	3404	2362
m49940974	MST1R	1541	1597
p49940913	MST1R	2323	1209
p49940922	MST1R	3521	3212
p49940958	MST1R	1977	2395
p49940987	MST1R	3922	4475
p49940998	MST1R	6416	6568
p49941004	MST1R	4581	4085
p49941011	MST1R	2367	2592
m131157646	MST4	1795	2165
m131157652	MST4	2297	1465
m131157678	MST4	688	1397
m131197492	MST4	3942	3871
p131157638	MST4	880	609
p131157657	MST4	550	1312
p131157665	MST4	2860	3142
p131197462	MST4	2676	4199
p131197471	MST4	565	320
p131197478	MST4	1562	1608
m4861634	MSX1	831	1569
m4861793	MSX1	2163	2197
p4861641	MSX1	1000	1842
p4861652	MSX1	586	1401
p4861668	MSX1	1082	891
p4861676	MSX1	287	256
p4861734	MSX1	668	380
p4861739	MSX1	862	717
p4861745	MSX1	605	391
p4861796	MSX1	534	1463
m174151674	MSX2	1066	1182
m174151701	MSX2	828	375
m174151715	MSX2	808	536
m174151825	MSX2	556	373
m174151853	MSX2	1509	1366
m174151860	MSX2	963	515
p174151659	MSX2	163	801
p174151703	MSX2	322	109
p174151718	MSX2	615	982
p174151787	MSX2	846	2468
m105886379	MTA1	2015	2471
m105905032	MTA1	1958	1427
m105905042	MTA1	542	1302
m105905048	MTA1	1136	1332
m105905054	MTA1	1084	1927
m105911761	MTA1	309	540
p105886371	MTA1	1221	1370
p105911742	MTA1	2132	1440
p105911750	MTA1	423	947
p105911776	MTA1	585	1421
m62367706	MTA2	2916	1772
m62367712	MTA2	1533	323
m62368095	MTA2	3015	1580
m62368114	MTA2	825	639
m62368122	MTA2	508	223
m62368896	MTA2	1562	643
p62368101	MTA2	907	707
p62368106	MTA2	1272	499
p62368882	MTA2	433	280
p62368901	MTA2	1155	1757
m42795905	MTA3	1708	1439
m42797600	MTA3	1900	1612
m42797611	MTA3	439	329
m42797616	MTA3	1313	2075
m42806307	MTA3	1945	2312
p42795891	MTA3	396	0
p42797603	MTA3	422	198
p42797622	MTA3	448	477
p42806234	MTA3	2194	1599
p42806242	MTA3	2132	2048
m21802766	MTAP	1610	1227
m21802772	MTAP	1071	1685
m21815509	MTAP	1630	1613
m21816762	MTAP	1235	1098
p21802735	MTAP	1572	1702
p21802758	MTAP	109	133
p21815422	MTAP	812	620
p21815496	MTAP	1187	1867
p21818020	MTAP	1736	1460
p21818045	MTAP	344	363
m121457758	MTBP	1075	890
m121457768	MTBP	973	893
p121457696	MTBP	66	103
p121457709	MTBP	1076	1992
p121457717	MTBP	728	1255
p121457750	MTBP	866	814
p121457772	MTBP	1302	740
p121457781	MTBP	1601	2038
p121457787	MTBP	939	948
p121457805	MTBP	859	814
m98656768	MTDH	889	1572
m98656792	MTDH	1753	1250
p98656723	MTDH	980	1303
p98656729	MTDH	2585	1366
p98656742	MTDH	1740	2318
p98656751	MTDH	2226	1335
p98656757	MTDH	999	847
p98656771	MTDH	0	0
p98656777	MTDH	501	425
p98656794	MTDH	1062	741
m38323155	MTF1	323	451
m38323166	MTF1	361	370
m38323195	MTF1	2531	4092
m38323211	MTF1	302	683
m38323284	MTF1	1162	1467
m38323290	MTF1	682	875
p38323145	MTF1	1190	1110
p38323168	MTF1	1102	1577
p38323199	MTF1	111	116
p38323292	MTF1	2658	3639
m93580307	MTF2	326	275
m93580570	MTF2	495	1174
m93581053	MTF2	1075	684
m93581060	MTF2	536	884
m93581092	MTF2	817	1172
p93580293	MTF2	363	275
p93580312	MTF2	2308	1385
p93580318	MTF2	2449	1293
p93581079	MTF2	1040	373
p93581094	MTF2	275	314
m135207788	MTG1	626	1370
m135207825	MTG1	713	823
m135209241	MTG1	1228	513
m135209271	MTG1	880	410
p135207798	MTG1	1357	806
p135207807	MTG1	371	282
p135207813	MTG1	383	398
p135209226	MTG1	1412	395
p135209244	MTG1	143	33
p135209258	MTG1	1125	1458
m68517959	MTL5	795	377
m68517967	MTL5	956	1042
m68518022	MTL5	3098	3132
m68518030	MTL5	1174	962
m68518104	MTL5	154	39
m68518109	MTL5	1117	590
m68518120	MTL5	740	957
p68517993	MTL5	492	314
p68518035	MTL5	2622	2017
p68518068	MTL5	1459	2185
m95591761	MTMR2	733	583
m95595157	MTMR2	840	2079
m95595192	MTMR2	860	1015
m95595462	MTMR2	761	1342
m95595487	MTMR2	707	1603
m95595499	MTMR2	1257	2450
m95598787	MTMR2	1943	1687
p95591721	MTMR2	499	464
p95595217	MTMR2	880	641
p95595507	MTMR2	1019	841
m30374429	MTMR3	785	644
m30374453	MTMR3	1187	1125
m30374501	MTMR3	748	881
m30374935	MTMR3	556	1731
p30374444	MTMR3	3523	3513
p30374464	MTMR3	2168	2564
p30374479	MTMR3	958	1324
p30374924	MTMR3	423	864
p30374945	MTMR3	1305	1392
p30374956	MTMR3	852	1228
m25842029	MTMR6	164	31
m25848255	MTMR6	1366	812
m25861363	MTMR6	1442	495
m25861373	MTMR6	1106	1103
p25841997	MTMR6	363	927
p25842037	MTMR6	1520	1526
p25842045	MTMR6	680	1402
p25848268	MTMR6	713	865
p25848279	MTMR6	1170	1251
p25861351	MTMR6	1045	1545
m63579286	MTMR8	1012	1483
m63579299	MTMR8	2389	1725
m63579309	MTMR8	745	1215
m63579319	MTMR8	2831	2474
m63579356	MTMR8	1776	1945
m63615221	MTMR8	664	986
m63615230	MTMR8	2219	1802
p63579277	MTMR8	1305	1308
p63579311	MTMR8	962	1593
p63579342	MTMR8	989	1110
m11319455	MTOR	899	610
m11319461	MTOR	2835	1185
p11319351	MTOR	1827	921
p11319360	MTOR	1408	2084
p11319367	MTOR	489	720
p11319381	MTOR	3186	3704
p11319403	MTOR	1467	725
p11319412	MTOR	1386	2107
p11319418	MTOR	2906	2656
p11319433	MTOR	1276	752
m30638084	MTPAP	1092	1023
m30638098	MTPAP	563	756
m30638135	MTPAP	165	151
m30638187	MTPAP	693	677
p30638065	MTPAP	964	636
p30638072	MTPAP	944	1579
p30638086	MTPAP	711	697
p30638116	MTPAP	468	455
p30638143	MTPAP	435	342
p30638152	MTPAP	1150	1990
m135636299	MTPN	1467	2078
m135636315	MTPN	1428	2822
m135636349	MTPN	506	64
m135636363	MTPN	1399	3274
m135661778	MTPN	819	772
m135661784	MTPN	962	1367
m135661826	MTPN	3491	3284
m135661838	MTPN	2233	3404
p135636278	MTPN	747	1106
p135636341	MTPN	925	687
m7870959	MTRR	379	850
m7871031	MTRR	1107	856
m7873501	MTRR	2361	2750
m7873512	MTRR	1877	1202
p7870921	MTRR	1005	1096
p7870927	MTRR	869	1311
p7870933	MTRR	3965	3509
p7870966	MTRR	1634	414
p7870973	MTRR	1768	1302
p7871014	MTRR	741	857
m17541838	MTUS1	1108	1364
m17541874	MTUS1	850	976
m17541891	MTUS1	933	944
p17532709	MTUS1	691	719
p17541826	MTUS1	1232	1247
p17541860	MTUS1	1192	954
p17541895	MTUS1	1164	1860
p17541910	MTUS1	1208	1728
p17541984	MTUS1	882	1259
p17542005	MTUS1	1013	684
m155162578	MUC1	517	753
m155162626	MUC1	962	1232
p155159831	MUC1	1884	2159
p155161973	MUC1	200	445
p155161990	MUC1	657	707
p155162570	MUC1	1143	1969
p155162590	MUC1	1665	1590
p155162597	MUC1	643	728
p155162605	MUC1	2225	2369
p155162613	MUC1	447	1385
m20834417	MUL1	1220	546
m20834423	MUL1	499	807
m20834430	MUL1	798	895
m20834473	MUL1	987	694
m20834502	MUL1	965	1903
m20834509	MUL1	1588	1750
p20834442	MUL1	1017	520
p20834453	MUL1	1665	1650
p20834465	MUL1	2233	2015
p20834475	MUL1	1203	1382
m65628235	MUS81	1130	1093
m65628250	MUS81	1492	1146
m65628259	MUS81	1655	647
m65628266	MUS81	990	965
m65628275	MUS81	1762	1085
m65628280	MUS81	329	446
m65628303	MUS81	9	23
p65628285	MUS81	680	1231
p65628295	MUS81	1827	2147
p65628309	MUS81	510	497
m113431208	MUSK	1466	2437
m113431236	MUSK	1504	905
m113444958	MUSK	3186	3038
m113444973	MUSK	804	1045
m113444992	MUSK	1141	983
p113431189	MUSK	1132	1469
p113431220	MUSK	365	282
p113444963	MUSK	791	833
p113444984	MUSK	1334	2381
p113445005	MUSK	468	1360
m52867650	MUSTN1	1025	1337
m52867674	MUSTN1	1332	930
m52867703	MUSTN1	2252	2955
m52867755	MUSTN1	1002	771
m52868957	MUSTN1	457	1264
p52867639	MUSTN1	1238	1424
p52867653	MUSTN1	385	899
p52867660	MUSTN1	500	1638
p52867665	MUSTN1	736	538
p52868943	MUSTN1	773	284
m45800086	MUTYH	1125	1226
m45800114	MUTYH	1254	1071
m45800134	MUTYH	335	915
m45800141	MUTYH	351	1343
m45800154	MUTYH	744	967
p45800048	MUTYH	1195	891
p45800055	MUTYH	254	50
p45800060	MUTYH	1161	592
p45800105	MUTYH	648	884
p45800145	MUTYH	1009	1556
m17530959	MVB12A	734	320
m17530988	MVB12A	1274	1517
m17530993	MVB12A	801	906
m17531148	MVB12A	1113	1352
p17530938	MVB12A	985	2283
p17530949	MVB12A	269	1153
p17530962	MVB12A	182	515
p17530979	MVB12A	2070	1681
p17531117	MVB12A	686	836
p17531160	MVB12A	735	467
m29841871	MVP	1263	1289
m29841905	MVP	2869	2641
m29841911	MVP	1958	1881
m29841920	MVP	1263	1524
m29841932	MVP	1756	1421
m29841949	MVP	711	1089
m29841966	MVP	787	1817
p29841935	MVP	1656	1484
p29841940	MVP	2876	1802
p29841958	MVP	1089	734
m42804036	MX1	358	564
m42804053	MX1	213	123
m42804096	MX1	1654	2909
m42807762	MX1	1096	1457
m42807789	MX1	783	794
p42803993	MX1	1165	1267
p42804045	MX1	258	525
p42804059	MX1	182	350
p42807774	MX1	2885	1902
p42807780	MX1	2147	3119
m42748846	MX2	896	1539
m42748854	MX2	1167	1397
m42748860	MX2	928	1271
m42748918	MX2	103	728
m42748932	MX2	1769	922
m42748938	MX2	2042	2878
m42748953	MX2	1205	1578
p42748820	MX2	2150	2121
p42748834	MX2	1618	1671
p42748920	MX2	1022	1883
m70142511	MXD1	652	619
m70143273	MXD1	3586	4741
m70143284	MXD1	574	815
p70142452	MXD1	0	9
p70142457	MXD1	299	580
p70142479	MXD1	1540	627
p70142485	MXD1	530	587
p70142497	MXD1	901	915
p70142502	MXD1	1300	1162
p70142513	MXD1	515	494
m176738475	MXD3	584	1896
m176738779	MXD3	352	367
m176738794	MXD3	951	1186
m176738821	MXD3	363	648
p176738459	MXD3	1730	2657
p176738749	MXD3	531	967
p176738758	MXD3	541	767
p176738765	MXD3	1113	954
p176738785	MXD3	3042	4516
p176738801	MXD3	1267	2217
m2254236	MXD4	317	500
m2263500	MXD4	568	946
m2263541	MXD4	1309	1842
m2263661	MXD4	1111	1215
m2263673	MXD4	233	689
m2263679	MXD4	4442	2973
p2263510	MXD4	3143	5319
p2263525	MXD4	1130	1682
p2263640	MXD4	916	454
p2263647	MXD4	1175	1188
m111987994	MXI1	1221	2013
m111988016	MXI1	1471	1400
m111988031	MXI1	322	459
m111988066	MXI1	2038	1771
m112038986	MXI1	1868	1654
m112038995	MXI1	260	470
m112039006	MXI1	1021	851
p111988057	MXI1	939	1274
p112038998	MXI1	1655	1749
p112039030	MXI1	1085	1355
m4458559	MYBBP1A	690	330
m4458566	MYBBP1A	283	187
m4458609	MYBBP1A	548	441
p4458516	MYBBP1A	903	976
p4458525	MYBBP1A	720	425
p4458533	MYBBP1A	963	1385
p4458538	MYBBP1A	1082	1349
p4458572	MYBBP1A	2081	2854
p4458577	MYBBP1A	206	502
p4458588	MYBBP1A	1307	463
