sgRNA	gene	HL60.final	KBM7.final
m128076635	ADAM12	825	1111
m128076658	ADAM12	2270	2731
p128018991	ADAM12	132	389
p128019039	ADAM12	1049	1058
p128076618	ADAM12	305	410
p128076641	ADAM12	2339	3211
p128076650	ADAM12	673	1328
m28338537	ADAMTS5	1079	2252
m28338697	ADAMTS5	859	1530
m28338702	ADAMTS5	994	1053
p28338524	ADAMTS5	1600	1039
p28338585	ADAMTS5	853	1072
p28338596	ADAMTS5	592	1002
p28338607	ADAMTS5	2009	1206
p28338612	ADAMTS5	278	479
p28338620	ADAMTS5	566	822
p28338667	ADAMTS5	1914	3378
m975089	ADAP1	830	1158
m975116	ADAP1	602	758
m975132	ADAP1	1919	1445
m994042	ADAP1	720	1240
m994066	ADAP1	324	622
m994071	ADAP1	416	603
m994091	ADAP1	569	1671
m994101	ADAP1	1441	1951
m994106	ADAP1	1070	872
p975103	ADAP1	837	2124
m46591572	ADARB1	358	629
m46595675	ADARB1	1117	697
m46595697	ADARB1	952	1089
m46595715	ADARB1	749	1177
m46595721	ADARB1	1880	1598
m46595779	ADARB1	304	253
p46595645	ADARB1	2401	2617
p46595700	ADARB1	1573	1321
p46595705	ADARB1	2843	4330
p46595724	ADARB1	485	397
m1779246	ADARB2	2792	2559
m1779251	ADARB2	1496	1434
m1779266	ADARB2	2870	3299
m1779272	ADARB2	1077	1441
m1779308	ADARB2	1395	1709
m1779330	ADARB2	557	699
m1779337	ADARB2	1564	1305
p1421307	ADARB2	597	1128
p1421336	ADARB2	1398	1015
p1779233	ADARB2	627	1138
m154574098	ADAR	1931	1523
m154574103	ADAR	441	1151
m154574108	ADAR	2361	1748
m154574165	ADAR	865	1012
m154574219	ADAR	2566	1758
p154574043	ADAR	1702	1435
p154574114	ADAR	61	35
p154574121	ADAR	0	0
p154574126	ADAR	372	594
p154574157	ADAR	1072	1160
m78285328	ADCK1	1746	2962
m78285358	ADCK1	2964	4114
m78285376	ADCK1	2055	2136
m78285413	ADCK1	2571	3331
p78285311	ADCK1	1142	1055
p78285331	ADCK1	2344	3069
p78285341	ADCK1	1394	1709
p78285386	ADCK1	1076	1513
p78285402	ADCK1	2063	2210
p78285416	ADCK1	1550	3612
m140373155	ADCK2	158	371
m140373168	ADCK2	710	1295
m140373177	ADCK2	1181	747
m140373210	ADCK2	2377	1644
m140373220	ADCK2	1346	846
m140373231	ADCK2	1868	2104
p140373122	ADCK2	1206	1142
p140373137	ADCK2	193	44
p140373158	ADCK2	1365	1700
p140373194	ADCK2	2422	1834
m227149096	ADCK3	688	919
m227149144	ADCK3	300	405
m227149153	ADCK3	2964	3638
m227149163	ADCK3	2130	3197
p227149079	ADCK3	2063	2888
p227149104	ADCK3	3375	3744
p227149124	ADCK3	1637	1858
p227149133	ADCK3	1114	1747
p227149155	ADCK3	4648	5233
p227149165	ADCK3	1686	2046
m41220243	ADCK4	2139	1295
m41220249	ADCK4	3240	3165
m41220284	ADCK4	2152	3902
m41220291	ADCK4	1110	142
m41220465	ADCK4	1500	1747
m41220474	ADCK4	4215	4983
m41220523	ADCK4	1392	779
p41220276	ADCK4	873	1793
p41220422	ADCK4	436	813
p41220480	ADCK4	3413	2651
m145603095	ADCK5	1345	2054
m145603137	ADCK5	1046	1919
m145603170	ADCK5	1694	958
m145608301	ADCK5	2393	2309
m145608343	ADCK5	2314	2374
p145597774	ADCK5	1063	531
p145603106	ADCK5	3670	2825
p145603142	ADCK5	2002	2685
p145608305	ADCK5	597	165
p145608311	ADCK5	1942	1575
m45614206	ADCY1	649	351
m45614243	ADCY1	769	1474
m45614270	ADCY1	861	1526
m45614323	ADCY1	1591	2080
p45614127	ADCY1	2832	2521
p45614255	ADCY1	1300	901
p45614284	ADCY1	589	810
p45614294	ADCY1	456	419
p45614309	ADCY1	279	66
p45614315	ADCY1	334	327
m2877698	ADD1	747	430
m2877722	ADD1	806	817
m2877771	ADD1	1293	1306
m2877776	ADD1	855	962
p2877627	ADD1	797	1406
p2877644	ADD1	1946	1334
p2877730	ADD1	378	366
