sgRNA_id gene_id list adjusted_ratio
m140373231 ADCK2 list 0.058755
p140373122 ADCK2 list -0.333479
p140373137 ADCK2 list -0.581204
p140373158 ADCK2 list 0.249508
p140373194 ADCK2 list -1.134017
m227149096 ADCK3 list 0.444885
m227149144 ADCK3 list 0.537275
m227149153 ADCK3 list 0.226609
m227149163 ADCK3 list 0.911255
p227149079 ADCK3 list 0.677481
p227149104 ADCK3 list -0.089358
p227149124 ADCK3 list 0.050660
p227149133 ADCK3 list 0.888177
p227149155 ADCK3 list 0.054610
p227149165 ADCK3 list 0.254796
m41220243 ADCK4 list -1.583002
m41220249 ADCK4 list -0.512909
m41220284 ADCK4 list 1.635696
m41220291 ADCK4 list -2.530320
m41220465 ADCK4 list -0.005348
m41220474 ADCK4 list 0.232878
m41220523 ADCK4 list -1.310675
p41220276 ADCK4 list 1.423731
p41220422 ADCK4 list 0.942279
p41220480 ADCK4 list -1.300733
m145603095 ADCK5 list 0.919756
m145603137 ADCK5 list 1.315604
m145603170 ADCK5 list -1.395052
m145608301 ADCK5 list -0.290617
m145608343 ADCK5 list -0.171861
p145597774 ADCK5 list -1.364178
p145603106 ADCK5 list -1.198806
p145603142 ADCK5 list 0.537863
p145608305 ADCK5 list -1.304276
p145608311 ADCK5 list -0.822248
m45614206 ADCY1 list -0.736494
m45614243 ADCY1 list 1.420562
m45614270 ADCY1 list 1.055748
m45614323 ADCY1 list 0.526269
p45614127 ADCY1 list -0.834717
p45614255 ADCY1 list -0.835814
p45614284 ADCY1 list 0.389009
p45614294 ADCY1 list 0.013310
p45614309 ADCY1 list -0.679456
p45614315 ADCY1 list 0.130735
m2877698 ADD1 list -0.854706
m2877722 ADD1 list -0.126019
m2877771 ADD1 list -0.231719
m2877776 ADD1 list 0.194016
p2877627 ADD1 list 1.097182
p2877644 ADD1 list -0.964286
p2877730 ADD1 list 0.047243
p2877736 ADD1 list -0.736413
p2877743 ADD1 list 0.480312
p2877761 ADD1 list -0.082954
m111860427 ADD3 list 0.019262
m111860445 ADD3 list -1.628710
m111860450 ADD3 list 0.288377
m111860456 ADD3 list -1.631378
m111860540 ADD3 list -1.291652
p111860411 ADD3 list 1.194441
p111860500 ADD3 list 0.021001
p111860505 ADD3 list -0.174383
p111860545 ADD3 list -0.264947
p111860553 ADD3 list -1.355580
m100003154 ADH5 list 1.026894
m100003254 ADH5 list 0.580651
m100006267 ADH5 list -0.234824
m100006354 ADH5 list -0.606090
m100009841 ADH5 list -0.256233
p100002504 ADH5 list 0.535537
p100002510 ADH5 list 0.921644
p100002584 ADH5 list 0.179509
p100003219 ADH5 list 1.255146
p100003224 ADH5 list 1.192905
m100349694 ADH7 list -0.449585
m100350690 ADH7 list 0.220770
m100350735 ADH7 list -1.186269
m100350762 ADH7 list -0.358110
p100349698 ADH7 list 1.323166
p100349706 ADH7 list 1.986235
p100349757 ADH7 list 0.689179
p100350692 ADH7 list 1.713990
p100350718 ADH7 list -0.718832
p100350724 ADH7 list -0.386881
m3517677 ADI1 list 0.941636
m3523156 ADI1 list 0.950207
m3523162 ADI1 list 0.881999
m3523239 ADI1 list 0.968669
m3523246 ADI1 list -0.675676
m3523251 ADI1 list -0.229081
p3517642 ADI1 list 2.076267
p3517660 ADI1 list -0.475568
p3523164 ADI1 list 1.078025
p3523171 ADI1 list -0.951299
m88728302 ADIRF list -0.795924
m88728350 ADIRF list 0.601533
m88729968 ADIRF list -0.321361
p88728292 ADIRF list -1.014022
p88728315 ADIRF list -0.626694
p88728321 ADIRF list -0.201608
p88729942 ADIRF list 0.632645
p88729951 ADIRF list 0.609160
p88729975 ADIRF list 0.715225
p88729984 ADIRF list 0.433596
m75960552 ADK list -0.024136
m75960590 ADK list 0.516405
m76153995 ADK list 0.621692
m76154033 ADK list 0.347767
p75960554 ADK list -1.230529
p76074446 ADK list 1.007622
p76074475 ADK list -0.435425
p76074481 ADK list 0.072094
